Date,Price,Open,High,Low,Vol.,Change %
1/29/2016,1164.90,1138.00,1170.00,1131.60,5.12M,0.03
1/28/2016,1129.60,1136.00,1142.60,1126.20,3.89M,-0.01
1/27/2016,1138.50,1146.45,1149.60,1135.00,3.49M,0.00
1/25/2016,1137.65,1140.25,1146.85,1124.55,2.29M,0.00
1/22/2016,1136.25,1148.10,1152.50,1131.00,3.22M,0.00
1/21/2016,1137.05,1135.00,1142.50,1122.00,3.37M,0.01
1/20/2016,1121.25,1134.00,1160.00,1117.00,3.75M,-0.02
1/19/2016,1139.65,1135.00,1158.95,1128.55,3.75M,0.01
1/18/2016,1131.90,1139.90,1162.10,1128.35,5.03M,-0.01
1/15/2016,1139.90,1148.00,1164.00,1137.55,6.52M,0.01
1/14/2016,1133.00,1066.00,1155.00,1054.35,15.11M,0.05
1/13/2016,1083.40,1057.00,1091.00,1048.10,4.38M,0.03
1/12/2016,1049.95,1062.00,1062.95,1030.85,3.28M,-0.01
1/11/2016,1055.70,1056.30,1069.95,1052.10,2.68M,-0.01
1/8/2016,1063.30,1061.50,1067.40,1055.50,1.58M,0.01
1/7/2016,1050.80,1060.05,1067.90,1047.90,2.65M,-0.02
1/6/2016,1069.35,1074.65,1074.65,1058.90,2.79M,0.00
1/5/2016,1074.05,1085.50,1085.50,1062.25,2.47M,0.00
1/4/2016,1078.90,1099.95,1102.45,1076.05,1.99M,-0.02
1/1/2016,1105.25,1100.00,1108.95,1093.20,903.28K,0.00
12/31/2015,1105.40,1090.15,1109.95,1087.00,3.97M,0.02
12/30/2015,1086.30,1101.10,1106.60,1083.00,2.58M,-0.02
12/29/2015,1104.70,1101.25,1110.00,1097.30,1.67M,0.00
12/28/2015,1104.75,1090.00,1110.00,1090.00,2.76M,0.01
12/24/2015,1096.35,1102.05,1104.45,1090.10,615.03K,0.00
12/23/2015,1100.85,1095.05,1102.50,1087.05,1.44M,0.02
